date,start,end,category,session
2026-11-25,09:30,16:30,workshop,Pre-conference workshop
2026-11-25,18:00,21:00,social,Informal social gathering
2026-11-26,08:30,09:30,procedural,Registration desk open
2026-11-26,09:30,10:00,procedural,"Welcome to Country, opening address"
2026-11-26,10:00,11:00,keynote,Keynote: Dr Emi Tanaka
2026-11-26,11:00,11:30,break,Morning tea
2026-11-26,11:30,12:30,panel,Panel session
2026-11-26,12:30,13:30,break,Lunch
2026-11-26,13:30,15:00,talks,Invited talks
2026-11-26,15:00,15:30,break,Afternoon tea
2026-11-26,15:30,16:00,talks,Invited talks
2026-11-26,16:00,17:00,posters,Poster session
2026-11-26,18:00,21:00,social,Conference social night
2026-11-27,08:30,09:30,workshop,ARDC Workshop
2026-11-27,09:45,10:45,talks,Invited talks
2026-11-27,10:45,11:15,break,Morning tea
2026-11-27,11:15,12:15,keynote,Keynote: Andrew Leigh MP
2026-11-27,12:15,13:15,break,Lunch
2026-11-27,13:45,14:45,talks,Invited talks
2026-11-27,14:45,15:15,break,Afternoon tea
2026-11-27,15:15,16:15,talks,Invited talks
2026-11-27,16:15,16:30,procedural,Conference close
